state,crop_type,R2
DE1,C0000,0.04817473444091391
DE1,C1100,-0.4390243902439024
DE1,R1000,0.16128789750100714
DE1,R2000,-0.14034080235773927
DE2,C0000,-0.0866942469863976
DE2,C1100,-0.4390243902439024
DE2,R1000,0.08176147984096882
DE2,R2000,-0.3631368395288588
DE3,C0000,-0.13392312934459794
DE3,C1100,-0.4390243902439024
DE3,R1000,1.0
DE3,R2000,1.0
DE4,C0000,-0.134670875508347
DE4,C1100,-0.4390243902439024
DE4,R1000,-0.7768887946694694
DE4,R2000,-0.186689370168452
DE5,C0000,-0.14794458143451217
DE5,C1100,-0.4390243902439024
DE5,R1000,1.0
DE5,R2000,1.0
DE6,C0000,-0.2280773286340798
DE6,C1100,-0.4390243902439024
DE6,R1000,-0.16725854275717733
DE6,R2000,-0.11513080688563448
DE7,C0000,0.20076662366410392
DE7,C1100,-0.4390243902439024
DE7,R1000,-0.08503964188246615
DE7,R2000,0.009165965184166458
DE8,C0000,0.03867788820421392
DE8,C1100,-0.4390243902439024
DE8,R1000,-0.7922592899441159
DE8,R2000,-0.43469394035880615
DE9,C0000,-0.146612724661209
DE9,C1100,-0.4390243902439024
DE9,R1000,-0.1389884293086998
DE9,R2000,-0.13199784459085184
DEA,C0000,0.010894421799598986
DEA,C1100,-0.4390243902439024
DEA,R1000,-0.3818730203509113
DEA,R2000,-0.2671441847572671
DEB,C0000,-0.08001818044547426
DEB,C1100,-0.4390243902439024
DEB,R1000,-0.10517549432758777
DEB,R2000,-0.513244261500051
DEC,C0000,-0.24359510049634414
DEC,C1100,-0.4390243902439024
DEC,R1000,0.1207033199711196
DEC,R2000,1.0
DED,C0000,-0.25526890294759874
DED,C1100,-0.4390243902439024
DED,R1000,-0.08453012872960342
DED,R2000,-0.42368873575872024
DEE,C0000,-0.1268968746614798
DEE,C1100,-0.4390243902439024
DEE,R1000,0.03017870243209919
DEE,R2000,0.1543855983066521
DEF,C0000,-0.37652530944486995
DEF,C1100,-0.4390243902439024
DEF,R1000,-0.7587221007796856
DEF,R2000,-0.8697437746870817
DEG,C0000,-0.2215954185651463
DEG,C1100,-0.4390243902439024
DEG,R1000,0.22293052649925837
DEG,R2000,-0.2688262117796474
